ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"45.115.115.145","elite","AS55828","BD","180","Drik ICT Ltd","31141","socks4","1","95","2924","3077","2025-05-22T04:25:33.042Z","Drik ICT Ltd","4790"
"203.156.190.5","elite","AS7616","TH","194","Triple T Broadband Public Company Limited","5678","socks4","1","85","2560","3011","2025-05-22T04:25:30.754Z","JasTel Network Company Limited","4892"
"177.129.249.170","transparent","AS28335","BR","217","Maxcomm Ltda EPP","8080","http","33992","100","29","29","2025-05-22T04:25:30.756Z","Maxcomm Ltda EPP","3188"
"186.235.187.14","elite","AS61888","BR","222","Avil Tecidos Recife Ltda","4153","socks4","1","99","9722","9776","2025-05-22T04:25:30.752Z","GFT COMERCIO DE TELEFONIA E COMUNICACAO LTDA","4781"
"185.121.138.59","elite","AS25369","GB","15","Hydra Communications Ltd","80","socks4","1","100","9640","9642","2025-05-22T04:25:30.858Z","Hydra Communications Ltd","4874"
"167.179.113.181","elite","AS20473","JP","240","Choopa, LLC","52333","socks4","1","99","9740","9796","2025-05-22T04:25:30.753Z","The Constant Company, LLC","4491"
"185.32.4.65","elite","AS60645","PL","28","Core Network Fiber","4153","socks4","1","100","9720","9768","2025-05-22T04:25:29.731Z","AS Consulting Sp. z o. o.","1994"
"38.242.199.111","elite","AS51167","DE","14","Contabo GmbH","51304","socks4","61","87","2693","3107","2025-05-22T04:25:29.732Z","Contabo GmbH","3400"
"182.160.127.236","elite","AS24323","BD","192","Aamra Networks Limited","5678","socks4","1","97","9510","9834","2025-05-22T04:25:29.762Z","Aamra Networks Limited","4185"
"184.82.142.201","elite","AS133481","TH","186","N/A","4153","socks4","61","95","9263","9725","2025-05-22T04:25:29.763Z","AIS-Fibre","3983"
"185.170.233.105","elite","AS206912","CY","57","Infra","47574","socks4","1","100","3019","3023","2025-05-22T04:25:29.733Z","Superdach LTD","4587"
"45.122.44.17","elite","AS38571","IN","175","N/A","5678","socks4","1","100","2872","2882","2025-05-22T04:25:29.762Z","Channel9 Cable Network","3107"
"216.107.129.67","elite","AS61317","US","97","Internet Utilities NA LLC","10180","socks5","1","100","9643","9665","2025-05-22T04:25:29.761Z","Ipxo LLC","5008"
"171.97.40.215","elite","AS17552","TH","193","Truenet Hisp","8080","socks5","1","72","6910","9624","2025-05-22T04:25:28.738Z","True Internet Corporation CO. Ltd.","1687"
"112.66.176.69","elite","AS4134","CN","262","Hainan TELECOM","4145","socks4","1","37","414","1113","2025-05-22T04:25:28.738Z","Chinanet","5000"
"66.172.55.45","elite","AS4213","US","106","EZSCALE Hosting LLC","30444","socks5","1","73","2255","3079","2025-05-22T04:25:28.736Z","Evocative","4424"
"85.222.67.66","elite","AS6830","PL","41","Aster Sp. z o.o.","5678","socks4","1","100","9714","9735","2025-05-22T04:25:26.936Z","ASTER Sp. z o.o.","4397"
"172.105.170.116","transparent","AS63949","AU","319","Linode","3128","http","4393","100","6","6","2025-05-22T04:25:26.858Z","Akamai Technologies","2203"
"221.1.86.176","elite","AS4837","CN","208","N/A","9000","socks4","1","69","1787","2608","2025-05-22T04:25:26.855Z","CNC Group CHINA169 Shandong Province Network","4317"
"104.16.143.127","elite","AS13335","CA","4","Cloudflare, Inc.","80","socks5","1","100","9703","9703","2025-05-22T04:25:26.857Z","Cloudflare, Inc.","4510"
"5.190.229.170","elite","AS58224","IR","104","N/A","8080","socks4","1","93","9066","9778","2025-05-22T04:25:26.856Z","Iran Telecommunication Company PJS","3791"
"122.248.46.26","elite","AS45325","ID","217","N/A","4145","socks4","1","99","3059","3089","2025-05-22T04:25:26.851Z","PT PC24 Cyber Indonesia","4712"
"189.85.112.20","elite","AS270540","BR","215","WEBNET Telecom","7497","socks5","1","100","9619","9647","2025-05-22T04:25:26.852Z","WEBNET Telecom","4274"
"23.94.73.246","elite","AS36352","US","144","RackNerd LLC","1080","socks4","1","94","9238","9789","2025-05-22T04:25:26.853Z","HostPapa","4403"
"159.223.166.21","elite","AS14061","US","88","DigitalOcean, LLC","5199","socks4","1","100","1801","1801","2025-05-22T04:25:26.852Z","DigitalOcean, LLC","3902"
"185.169.181.12","elite","AS34984","TR","60","Ibrahim MALA trading as Ates Dc","4145","socks4","1","100","9878","9907","2025-05-22T04:25:26.935Z","Ates Dc","3533"
"151.236.54.244","elite","AS29550","GB","19","N/A","47505","socks4","1","100","2607","2613","2025-05-22T04:25:23.154Z","Simply Transit Ltd","4509"
"197.234.13.90","elite","AS36902","SC","124","Intelvision Ltd","4145","socks4","1","99","9779","9879","2025-05-22T04:25:23.154Z","Intelvision","4475"
"141.105.86.130","elite","AS24634","LB","61","N/A","44660","socks4","1","95","9388","9900","2025-05-22T04:25:23.158Z","CYBERIA","4493"
"178.245.152.117","elite","AS16135","TR","1847","N/A","3128","socks4","1","17","1685","9793","2025-05-22T04:25:23.233Z","Turkcell Internet","4898"
"193.242.210.140","elite","AS58329","NL","13","servinga GmbH","80","socks4","1","100","9718","9755","2025-05-22T04:25:23.162Z","servinga GmbH","4182"
"45.12.30.170","elite","AS209242","GB","62","LIR Services","80","socks4","1","100","3031","3033","2025-05-22T04:25:23.161Z","Cloudflare London, LLC","4711"
"134.122.43.203","elite","AS14061","CA","104","DigitalOcean, LLC","56442","socks4","1","100","3068","3071","2025-05-22T04:25:23.156Z","DigitalOcean, LLC","4785"
"125.70.227.214","elite","AS4134","CN","273","Chinanet SC","10800","socks4","1","94","142","151","2025-05-22T04:25:23.159Z","Chinanet","3074"
"172.67.167.7","elite","AS13335","CA","7","Cloudflare, Inc.","80","socks4","1","100","2732","2732","2025-05-22T04:25:23.153Z","Cloudflare, Inc.","4198"
"80.193.50.189","elite","AS5089","GB","35","N/A","40004","socks4","1","100","133","133","2025-05-22T04:25:23.160Z","Virgin Media","5081"
"91.192.25.158","elite","AS200100","IT","60","MT Mechanical Trading S.R.L","4145","socks4","1","74","2298","3102","2025-05-22T04:25:23.157Z","T&T Tecnologie e Telecomunicazioni Srl","3829"
"82.157.194.44","elite","AS45090","CN","218","Tencent Cloud Computing (Beijing) Co., Ltd","7890","socks4","1","99","1563","1581","2025-05-22T04:25:23.160Z","Shenzhen Tencent Computer Systems Company Limited","1017"
"185.132.178.143","elite","AS49981","NL","13","Worldstream","1080","socks4","65","100","2572","2580","2025-05-22T04:25:23.155Z","WorldStream B.V.","4432"
"116.99.238.226","elite","AS24086","VN","259","Viettel Group","24466","socks4","1","54","1667","3083","2025-05-22T04:25:23.157Z","Viettel Corporation","4405"
"87.248.153.17","elite","AS208161","IR","91","Pars Shabakeh Azarakhsh","3128","socks4","1","14","1351","9728","2025-05-22T04:25:23.156Z","Pars Shabakeh Azarakhsh","566"
"149.28.158.146","elite","AS20473","SG","239","Vultr Holdings, LLC","15182","socks4","1","40","832","2065","2025-05-22T04:25:21.057Z","The Constant Company","3312"
"104.207.61.31","elite","AS53667","US","186","Xiamen Jiufu Network Co., Ltd","3128","socks4","1","95","1408","1479","2025-05-22T04:25:21.060Z","FranTech Solutions","2691"
"175.158.40.224","transparent","AS135478","ID","165","N/A","2020","http","5684","21","6","29","2025-05-22T04:25:21.126Z","Indonesia Network Information Center","3787"
